command;intent
clean the mud off the sneaker;CLEAN
wash the canvas sandal next to the canvas boot on the bottom shelf with the red cleaner;CLEAN
wipe the dirt from brown_sandal_4;CLEAN
make the red sneaker clean again with the cleaner;CLEAN
wipe the dirt from the leather boot next to needle_and_yarn_1 in the tool area;CLEAN
please clean the brown sneaker;CLEAN
get the dust off the yellow rubber sandal_88 with the rag;CLEAN
scrub leather_boot_3 next to the brown sandal with the brush;CLEAN
brush away the sand on the boot;CLEAN
make the white sandal clean again with the cleaner;CLEAN
clean up the blue sneaker next to sneaker_12;CLEAN
wipe the dirt from the boot;CLEAN
brush away the sand on the blue sneaker;CLEAN
brush the green sandal clean;CLEAN
scrub the dirty spots on the sneaker next to the cleaning brush;CLEAN
clean dirty_sneaker_6 with the brush;CLEAN
wash the dirty;CLEAN
clean that shoe_8 before putting it away;CLEAN
get the dust off the green canvas boot with yellow the rag next to spray_7;CLEAN
brush away the sand on the red canvas sandal;CLEAN
brush away the sand on the yellow sandal;CLEAN
clean the black suede sandal_88 next to the sole hammer with the cleaner;CLEAN
get the dust off the blue sneaker with the rag;CLEAN
clean the muddy sandal with the rag;CLEAN
scrub rubber_sandal_6 using the brush next to the black boot in the drying area;CLEAN
wipe blue_sneaker_4 with the rag;CLEAN
can you clean the green boot using the rag;CLEAN
get the dust off the sneaker next to rag_4 on the floor with the rag;CLEAN
get the dust off the red suede sandal with the rag;CLEAN
wipe the boot;CLEAN
wash the mid sneaker_12 with the cleaner;CLEAN
use the cleaner next to cream_5 inside the tool area to clean the rubber boot;CLEAN
wash the sandal with the cleaner;CLEAN
clean the shoe;CLEAN
clean the oily boot next to the blue sneaker on the middle shelf with the cleaner;CLEAN
clean the sole of the red leather sandal with the brush;CLEAN
brush black_boot_5 clean;CLEAN
clean it with;CLEAN
wipe the black boot_11 with the rag next to sole_glue_3 in the tool area;CLEAN
the boot is dirty clean it with the rag;CLEAN
wipe the dirt from the yellow boot;CLEAN
clean the sole of the sandal in the drying area next to the red boot with the brush;CLEAN
remove the dust from brown_sandal_4 with the rag;CLEAN
can you clean the red rubber sandal using the brush;CLEAN
give the high boot a quick clean with the rag on the top shelf next to brush_12;CLEAN
can you clean the yellow sneaker_6 using green cleaner;CLEAN
please clean the suede sneaker;CLEAN
wipe down the white sneaker;CLEAN
wipe the dirt from the sneaker_12 inside the tool area next to the spray bottle;CLEAN
brush away the sand on the red rubber sandal;CLEAN
clean up the blue boot_11;CLEAN
wipe the low boot with the rag from the middle shelf next to the green sandal;CLEAN
get the dust off the blue boot_2 with the rag;CLEAN
scrub the blue sandal with the brush;CLEAN
wipe down the green rubber sandal on the floor next to cleaner_3;CLEAN
scrub sandal_3 with the brush;CLEAN
give the yellow leather sneaker_9 a quick clean with the rag;CLEAN
wash the black sneaker with the cleaner next to the hammer inside the drying area next to spray_7;CLEAN
clean the black high sandal with the rag;CLEAN
wipe the dirt from the green leather sneaker_7;CLEAN
remove the sand from the white sneaker next to the canvas boot on the bottom shelf with the brush;CLEAN
wipe the dirt from the green leather sandal_88;CLEAN
clean the;CLEAN
use the brush to clean dirty_sneaker_6;CLEAN
wipe down the sneaker next to needle_and_yarn_1 in the tool area;CLEAN
clean up the brown sneaker;CLEAN
wipe the suede sneaker with the rag;CLEAN
use the rag to clean the white sandal_4;CLEAN
clean sneaker_1 next to the brown sandal with the brush;CLEAN
scrub the dirty spots on the brown canvas sandal;CLEAN
use the brush to clean the leather boot_2;CLEAN
give the yellow canvas sneaker a quick clean with the rag next to sneaker_12;CLEAN
wipe down the red sandal_4;CLEAN
wipe the white leather sandal with the rag;CLEAN
use a brush on the white mid boot_11 next to the cleaning brush to clean it;CLEAN
wipe the blue boot_6 with the rag;CLEAN
make the blue rubber boot clean again with the cleaner;CLEAN
use the brush next to spray_7 to clean the sandal;CLEAN
use the rag to clean the white canvas low boot;CLEAN
clean brown_boot_6 with the rag;CLEAN
wipe the dirt from the sandal next to the sole hammer;CLEAN
can you clean black_boot_5 using the cleaner;CLEAN
wash off the mud on the boot;CLEAN
brush the sandal clean;CLEAN
make the black sandal_6 clean again with the brush next to the black boot in the drying area;CLEAN
clean the dirty boot with the rag;CLEAN
brush away the sand on sandal_88;CLEAN
scrub the dirty spots on the green leather sneaker_6 next to the red rag_4 on the floor;CLEAN
can you clean the white suede sneaker using the rag;CLEAN
the sandal is dirty clean it with the black cleaner;CLEAN
scrub the dirty spots on the sandal next to cream_5 inside the tool area;CLEAN
clean the sole of the green boot with the brush;CLEAN
use cleaner on the dirty sneaker_9;CLEAN
make the brown sandal next to the blue sneaker on the middle shelf clean again with the rag;CLEAN
clean the green sandal with the cleaner;CLEAN
make the sneaker clean again with the rag;CLEAN
please clean the canvas boot next to sole_glue_3 in the tool area;CLEAN
brush the yellow sneaker_4 clean;CLEAN
wipe the yellow leather sandal with the rag;CLEAN
brush away the sand on the black suede boot in the drying area next to the red boot;CLEAN
sneaker_14 needs cleaning please do that with the brush;CLEAN
the shoe should be cleaned with rag_4 before it goes back;CLEAN
could you clean up the brown sandal_6 using the cleaner;CLEAN
please get the dusty marks cleaned off the canvas boot on the top shelf next to brush_12;CLEAN
I want the muddy sneaker brushed clean if that works;CLEAN
make the shoe less dirty with the rag please;CLEAN
this boot inside the tool area next to the spray bottle is waiting to be washed use brush_12;CLEAN
can the red sneaker be cleaned now maybe with cleaner_3;CLEAN
wipe down sandal_9 because it has sand on it;CLEAN
the dirty leather boot from the middle shelf next to the green sandal should get a proper cleaning;CLEAN
prepare the blue sneaker next to the brown sandal for drying;DRY
make black_boot_5 dry again;DRY
air dry the white sandal;DRY
let the boot next to sneaker_12 air out until it is dry;DRY
dry the rubber sandal_6;DRY
leave boot_2 to dry;DRY
leave leather_shoe_4 next to the cleaning brush in a spot where it can dry;DRY
leave the green boot to dry;DRY
dry the;DRY
air dry the red sneaker;DRY
please dry the black canvas sandal;DRY
dry the inside of the white rubber boot next to spray_7;DRY
let that shoe_43 dry before it goes back on the shelf;DRY
let blue_sneaker_4 dry;DRY
dry the sneaker next to the sole hammer;DRY
dry off the sandal;DRY
leave the blue sneaker to dry;DRY
put the damp shoe next to the black boot in the top shelf away to dry;DRY
put canvas_sneaker_9 where it can dry;DRY
dry the red boot;DRY
let the blue sneaker next to rag_4 on the floor dry;DRY
let the green sandal dry;DRY
please dry the white sneaker;DRY
dry off the brown suede sandal_9 next to cream_5 inside the tool area;DRY
dry out the white rubber sneaker_1;DRY
dry the sandal;DRY
air dry the sneaker;DRY
let the brown sneaker_4 next to the blue sneaker on the middle shelf dry;DRY
make the black sandal dry again;DRY
dry the inside of the blue canvas sneaker;DRY
dry it;DRY
leave the green rubber sandal_88 next to sole_glue_3 in the top shelf to dry;DRY
prepare brown_sandal_4 for drying;DRY
let the brown sandal dry;DRY
put the brown canvas boot in the drying area;MOVE
dry the inside of the boot_6;DRY
dry the green sneaker;DRY
put the boot on the top shelf next to brush_12 somewhere to dry;DRY
make that shoe_69 dry;DRY
put the canvas sneaker somewhere to dry;DRY
dry off sandal_3 inside the tool area next to the spray bottle;DRY
dry out the red sandal;DRY
make leather_boot_3 dry again;DRY
get the moisture out of wet_boot_11;DRY
leave the sneaker from the middle shelf next to the green sandal to dry;DRY
prepare the green sandal for drying;DRY
dry the shoe;DRY
get the moisture out of the canvas sandal on the floor next to cleaner_3;DRY
put sneaker_1 somewhere to dry;DRY
prepare the white leather boot for drying;DRY
dry off the black canvas sneaker next to the hammer inside the bottom shelf next to spray_7;DRY
let the sandal dry;DRY
air dry the yellow suede sneaker;DRY
blue_sneaker_4 next to the canvas boot on the bottom shelf is wet dry it;DRY
put the sandal somewhere to dry;DRY
please dry the red boot;DRY
black_boot_5 next to needle_and_yarn_1 in the middle shelf is wet dry it;DRY
dry off the white sneaker_4;DRY
get the moisture out of the yellow sneaker_9;DRY
let the white boot dry;DRY
air dry boot_2 next to the brown sandal;DRY
let red_shoe_8 dry;DRY
dry the inside of the brown sneaker;DRY
move the sneaker next to sneaker_12 so it can dry;DRY
dry the inside of the sandal_6;DRY
leave the brown boot_6 to dry;DRY
dry out the white sneaker_1 next to the cleaning brush;DRY
get the moisture out of the green boot;DRY
set the wet shoe aside to dry;DRY
get the moisture out of the sandal next to spray_7;DRY
let the red sandal_3 dry;DRY
dry out the yellow sneaker;DRY
dry the wet boot next to the sole hammer;DRY
let the red boot_8 dry;DRY
make brown_boot_6 dry again;DRY
prepare the yellow sandal for drying;DRY
move the black leather sandal_88 next to the black boot in the drying area so it can dry;DRY
prepare the blue sandal for drying;DRY
air dry the black canvas boot;DRY
leave the white boot next to rag_4 on the floor to dry;DRY
dry the inside of the yellow sneaker_12;DRY
prepare the red sandal for drying;DRY
dry the inside of the brown sandal next to cream_5 inside the tool area;DRY
wet boot_6 dry;DRY
get the moisture out of brown_boot_6;DRY
dry the boot next to the blue sneaker on the middle shelf;DRY
let the black canvas boot dry;DRY
move the red leather boot so it can dry;DRY
dry off green_sandal_9;DRY
air dry the yellow canvas sandal next to sole_glue_3 in the tool area;DRY
dry out canvas_sneaker_9;DRY
leave the blue leather sandal to dry;DRY
dry the red sneaker_12 in the drying area next to the red boot;DRY
dry the black rubber sneaker;DRY
get the moisture out of the white sneaker_9;DRY
dry off the blue sneaker on the top shelf next to brush_12;DRY
dry sandal_88;DRY
dry out the red sneaker_7;DRY
prepare the sneaker_12 inside the top shelf next to the spray bottle for drying;DRY
leave brown_boot_6 to dry;DRY
dry off the blue sandal;DRY
dry the inside of the white sneaker from the middle shelf next to the green sandal;DRY
make brown_sandal_4 dry again;DRY
please dry the boot;DRY
put the blue leather sneaker somewhere to dry;DRY
prepare the red boot on the floor next to cleaner_3 for drying;DRY
dry the inside of the yellow boot;DRY
air dry the black sneaker;DRY
put the brown sandal next to the hammer inside the drying area next to spray_7 somewhere to dry;DRY
prepare the sandal_6 for drying;DRY
let the yellow boot dry;DRY
dry off the blue boot next to the canvas boot on the bottom shelf;DRY
please dry sneaker_1;DRY
put the blue sneaker somewhere to dry;DRY
move the yellow boot next to needle_and_yarn_1 in the middle shelf so it can dry;DRY
put the yellow sandal somewhere to dry;DRY
move the boot so it can dry;DRY
the sandal next to the brown sandal got wet dry it;DRY
please dry wet_boot_11;DRY
get the moisture out of the sneaker;DRY
get the moisture out of the blue boot_2;DRY
dry the black boot next to sneaker_12;DRY
leave the black sneaker to dry;DRY
move the red sandal_9 so it can dry;DRY
air dry rubber_sandal_6 next to the cleaning brush;DRY
dry off the yellow leather boot;DRY
please dry the blue sneaker;DRY
dry off leather_boot_3 next to spray_7;DRY
take care of the wet boot and dry it;DRY
put the sneaker somewhere to dry;DRY
move the yellow rubber sandal next to the sole hammer so it can dry;DRY
dry the inside of the sneaker;DRY
get the moisture out of the boot;DRY
prepare the green sneaker next to the black boot in the floor box for drying;DRY
please dry the sneaker;DRY
dry the inside of the green canvas sneaker;DRY
dry out the brown boot_11;DRY
move the white boot next to rag_4 in the floor_box so it can dry;DRY
get the moisture out of the yellow boot;DRY
dry the wet sneaker;DRY
dry the green leather boot next to cream_5 inside the floor box;DRY
the sandal is wet dry it;DRY
put brown_sandal_4 somewhere to dry;DRY
dry the inside of the white suede sandal next to the blue sneaker on the middle shelf;DRY
dry off sneaker_1;DRY
make sure the boot dries;DRY
dry the shoe next to sole_glue_3 in the floor box after the rainy walk;DRY
leave the blue boot to dry;DRY
dry out the yellow leather sandal;DRY
dry off the green sneaker in the floor box next to the red boot;DRY
sneaker_14 needs drying please take care of that;DRY
the shoe should be dried before it is stored away;DRY
could you get boot_8 dry somehow;DRY
please let the wet sandal_6 on the top shelf next to brush_12 dry first;DRY
I want the soaked sneaker dried not cleaned;DRY
make the wet leather boot dry again;DRY
can the moisture in brown_sandal_4 inside the tool area beside the spray bottle be dealt with;DRY
the blue shoe is still dripping dry it please;DRY
put sneake_22 where it can dry out;DRY
this boot from the middle shelf next to the green sandal has to be dried before walking;DRY
take a spare rag from the box;GET_NEW_TOOL
fetch a replacement spray;GET_NEW_TOOL
pick up a new brush from the tool area;GET_NEW_TOOL
get an extra cream for the task;GET_NEW_TOOL
bring a replacement tool_8;GET_NEW_TOOL
fetch a repair tool from the tool box;GET_NEW_TOOL
grab a new rag from the infinite tool box;GET_NEW_TOOL
fetch cleaner;GET_NEW_TOOL
get another cleaner from the tool area;GET_NEW_TOOL
grab another needle and yarn;GET_NEW_TOOL
grab a spare sole hammer before we continue;GET_NEW_TOOL
replace the current repair_tool_6 with a new cream;GET_NEW_TOOL
bring me a new brush;GET_NEW_TOOL
get a clean rag from the tool box;GET_NEW_TOOL
get a new repair tool;GET_NEW_TOOL
bring me a tool;GET_NEW_TOOL
get a cleaning tool for me;GET_NEW_TOOL
bring the next glue from the tool area;GET_NEW_TOOL
take sole_glue from the tool box;GET_NEW_TOOL
take a new sole hammer from the tools;GET_NEW_TOOL
please get a fresh needle and yarn;GET_NEW_TOOL
please get a fresh rag;GET_NEW_TOOL
we need another sole hammer inside the tool area;GET_NEW_TOOL
replace the current tool with a new spray;GET_NEW_TOOL
take a brush from the tool box;GET_NEW_TOOL
fetch a replacement rag;GET_NEW_TOOL
grab a new spray from the infinite tool box;GET_NEW_TOOL
grab another red brush;GET_NEW_TOOL
we need another black sole glue;GET_NEW_TOOL
take a spare sole hammer from the box;GET_NEW_TOOL
please fetch a sole hammer from the tool box;GET_NEW_TOOL
find a new spray in the tool box;GET_NEW_TOOL
get the replacement tool ready;GET_NEW_TOOL
fetch the next available cleaner_2;GET_NEW_TOOL
get replacement sole glue;GET_NEW_TOOL
find a new repair_hammer_8 in the tool box;GET_NEW_TOOL
grab another cream;GET_NEW_TOOL
bring me the spare sole hammer;GET_NEW_TOOL
bring yarn_needle_4 inside the tool area;GET_NEW_TOOL
could you get a new cream for this;GET_NEW_TOOL
get another sole glue from the tool area;GET_NEW_TOOL
bring over a new needle and yarn;GET_NEW_TOOL
get a clean cleaner_2 from the tool box;GET_NEW_TOOL
bring me a new rag;GET_NEW_TOOL
pick up shoe_cleaner_5 from the tool area;GET_NEW_TOOL
get another sole hammer from the tool area;GET_NEW_TOOL
replace the current tool with a new sole hammer;GET_NEW_TOOL
grab repair_hammer_8 from the infinite tool box;GET_NEW_TOOL
bring me the spare cleaner;GET_NEW_TOOL
take one more needle and yarn out of the box;GET_NEW_TOOL
I need a new cream;GET_NEW_TOOL
could you get a sole glue for this;GET_NEW_TOOL
grab a tool from the infinite tool box;GET_NEW_TOOL
bring a fresh brush;GET_NEW_TOOL
I need a new brush in the tool area;GET_NEW_TOOL
please fetch a cleaner from the tool box;GET_NEW_TOOL
get an extra cleaner for the task;GET_NEW_TOOL
take a spare sole glue from the box;GET_NEW_TOOL
grab a spare sole glue before we continue;GET_NEW_TOOL
bring me the spare brush;GET_NEW_TOOL
bring me the spare spray;GET_NEW_TOOL
get a new;GET_NEW_TOOL
take one more cleaner out of the box;GET_NEW_TOOL
take a new tool out of the box;GET_NEW_TOOL
please fetch a rag from the tool box;GET_NEW_TOOL
fetch the next available cream;GET_NEW_TOOL
take one more sole glue out of the box;GET_NEW_TOOL
fetch some impregnation cream;GET_NEW_TOOL
get another spray_7 from the tool area;GET_NEW_TOOL
get another needle and yarn from the tool area;GET_NEW_TOOL
pick up a new rag for the tool area;GET_NEW_TOOL
could you get a new needle and yarn for this;GET_NEW_TOOL
fetch the next available sole glue;GET_NEW_TOOL
could you get a new spray for this;GET_NEW_TOOL
find protection_cream_2 in the tool box;GET_NEW_TOOL
grab a spare needle and yarn before we continue;GET_NEW_TOOL
fetch the next available spray;GET_NEW_TOOL
bring me a spare glue;GET_NEW_TOOL
find another sole glue for me;GET_NEW_TOOL
bring over a new cleaner;GET_NEW_TOOL
bring over a new waterproof_spray_4;GET_NEW_TOOL
get a new sole_glue_3 inside the tool area;GET_NEW_TOOL
grab a spare rag before we continue;GET_NEW_TOOL
fetch a replacement sole glue;GET_NEW_TOOL
I need a new needle and yarn;GET_NEW_TOOL
get a tool_8 for repairing the shoe;GET_NEW_TOOL
we need another rag;GET_NEW_TOOL
get another spray from the tool area;GET_NEW_TOOL
new sole glue;GET_NEW_TOOL
we need another protection_cream_2;GET_NEW_TOOL
take a spare needle and yarn from the box;GET_NEW_TOOL
bring me a new cleaner;GET_NEW_TOOL
grab a spare cleaner before we continue;GET_NEW_TOOL
get me brush_1;GET_NEW_TOOL
could you get a new rag;GET_NEW_TOOL
bring me a new yarn_needle_4;GET_NEW_TOOL
get a new sole hammer;GET_NEW_TOOL
get an extra rag inside the tool area for the task;GET_NEW_TOOL
get a fresh tool from the tool area;GET_NEW_TOOL
get tool_1 for waterproofing;GET_NEW_TOOL
find another cream for me;GET_NEW_TOOL
bring over a new rag;GET_NEW_TOOL
take a spare brush from the box;GET_NEW_TOOL
bring a fresh cream;GET_NEW_TOOL
get an extra brush for the task;GET_NEW_TOOL
get an extra sole hammer for the task;GET_NEW_TOOL
I need a new cleaner_8;GET_NEW_TOOL
we need another shoe_cleaner_5;GET_NEW_TOOL
get replacement needle_and_yarn_1;GET_NEW_TOOL
bring the next spray_t_3 from the tool area;GET_NEW_TOOL
grab another waterproof_spray_4;GET_NEW_TOOL
please get another tool;GET_NEW_TOOL
please get a fresh hammer_2;GET_NEW_TOOL
take a spare spray from the box;GET_NEW_TOOL
fetch some sole glue;GET_NEW_TOOL
get an impregnation tool;GET_NEW_TOOL
bring over a new sole glue;GET_NEW_TOOL
bring a fresh cleaner_2;GET_NEW_TOOL
grab another hamme_2;GET_NEW_TOOL
please get a fresh sole glue;GET_NEW_TOOL
fetch the next available rag;GET_NEW_TOOL
fetch a replacement cream;GET_NEW_TOOL
get a repair_tool_6 for cleaning;GET_NEW_TOOL
get replacement;GET_NEW_TOOL
bring the next needle_1 from the tool area;GET_NEW_TOOL
bring me a tool for this step;GET_NEW_TOOL
fetch some cleaner;GET_NEW_TOOL
replace the current tool with a new needle and yarn;GET_NEW_TOOL
please get a fresh spray;GET_NEW_TOOL
get another cream from the tool area;GET_NEW_TOOL
please fetch a brush from the tool box;GET_NEW_TOOL
take a new yarn_needle_4 from the tools;GET_NEW_TOOL
replace the current tool with a new sole glue;GET_NEW_TOOL
please fetch a sole glue from the tool box;GET_NEW_TOOL
replace the current tool with a new rag;GET_NEW_TOOL
find another brush for me;GET_NEW_TOOL
bring me the spare cream_6;GET_NEW_TOOL
take a sole hammer from the tool box;GET_NEW_TOOL
grab brush_1 before we continue;GET_NEW_TOOL
bring a fresh glue_1;GET_NEW_TOOL
find another repair_hammer_8 inside the tool area for me;GET_NEW_TOOL
we need another brush;GET_NEW_TOOL
bring me a new cream_6;GET_NEW_TOOL
grab a spare spray before we continue;GET_NEW_TOOL
please fetch a spray from the tool box;GET_NEW_TOOL
bring the next sole hammer from the tool area;GET_NEW_TOOL
we need another needle and yarn;GET_NEW_TOOL
get a brush;GET_NEW_TOOL
we need another spray;GET_NEW_TOOL
find a new cleaning_brush_3 in the tool box;GET_NEW_TOOL
could you get a cleaning tool maybe like brush_12 from the box;GET_NEW_TOOL
I need a new spray_7 or something similar for waterproofing;GET_NEW_TOOL
please fetch another sole glue for the repair;GET_NEW_TOOL
can you bring in a fresh rag_4 from the infinite tool box;GET_NEW_TOOL
get me a tool that can clean a muddy shoe;GET_NEW_TOOL
I want a replacement needle_and_yarn_2 for fixing material;GET_NEW_TOOL
please find a new cream_5 inside the tool area;GET_NEW_TOOL
bring whatever repair tool is needed for a loose sole;GET_NEW_TOOL
could you take out another cleaner from the tool box;GET_NEW_TOOL
we need a fresh tool before continuing with the boot;GET_NEW_TOOL
go on a run with the green mid sandal_3 next to the brown sandal;GO_ON_WALK
take the canvas sneaker outside for a short walk;GO_ON_WALK
please take brown_sandal_4 on a walk;GO_ON_WALK
go for a walk in the garage wearing the leather sneaker_4 next to sneaker_12;GO_ON_WALK
take rubber_sandal_6 outside for a medium walk;GO_ON_WALK
walk through the park in sunny weather with blue_sneaker_4;GO_ON_WALK
hike through the forest with the blue sandal next to the cleaning brush;GO_ON_WALK
go for a walk in the parking lot wearing the sandal;GO_ON_WALK
take a short walk in rainy weather with the yellow sandal;GO_ON_WALK
go around the garden with the rubber sneaker;GO_ON_WALK
walk through the playground in rainy weather with the black suede sandal next to spray_7;GO_ON_WALK
please take the blue sandal on a walk;GO_ON_WALK
head to the playground with the sandal for a short walk;GO_ON_WALK
please take the black leather sandal next to the sole hammer on a walk;GO_ON_WALK
take the black sneaker out on the trail;GO_ON_WALK
walk through the street in rainy weather with the suede sandal_3;GO_ON_WALK
take a medium walk in rainy weather with the yellow boot next to the black boot in the drying area;GO_ON_WALK
use leather_boot_3 for a walk in the beach;GO_ON_WALK
go walking with the shoe_4;GO_ON_WALK
go for a jog with the white sneaker next to rag_4 on the floor;GO_ON_WALK
go for a walk in the garden wearing the green boot;GO_ON_WALK
take sandal_88 out on the trail;GO_ON_WALK
use the red boot next to the white cream_5 inside the floor box for a walk in the park;GO_ON_WALK
please take the yellow sneaker_6 on a walk;GO_ON_WALK
take a short walk in sunny weather with the sneaker_1;GO_ON_WALK
go on a run with the red canvas high sandal_3 next to the blue sneaker on the middle shelf;GO_ON_WALK
go for a jog with the blue boot_5;GO_ON_WALK
take a walk with the red sneaker on a sunny street;GO_ON_WALK
go for a jog with the white boot;GO_ON_WALK
walk through the street in rainy weather with the rubber sneaker next to sole_glue_3 in the floor box;GO_ON_WALK
go outside with the white suede sandal for a walk;GO_ON_WALK
hike through the street with the brown sandal;GO_ON_WALK
hike through the construction site with the sneaker in the drying area next to the red boot;GO_ON_WALK
take the black sandal outside for a short walk;GO_ON_WALK
go on a run with the blue sneaker;GO_ON_WALK
go strolling in the city with the green sneaker on the top shelf next to brush_12;GO_ON_WALK
go strolling in the city with the brown boot;GO_ON_WALK
take the white sandal outside for a long walk;GO_ON_WALK
take the white sandal inside the tool area next to the spray bottle for a walk;GO_ON_WALK
take a medium walk in sunny weather with the blue boot;GO_ON_WALK
take the black leather sneaker for a walk;GO_ON_WALK
take a medium walk in rainy weather with the white sneaker from the middle shelf next to the green sandal;GO_ON_WALK
go on a medium walk with the brown rubber sandal_4;GO_ON_WALK
take the red sneaker out on the trail;GO_ON_WALK
walk with the brown boot_5 through the meadow;GO_ON_WALK
take the red boot on the floor next to cleaner_3 for a walk;GO_ON_WALK
take the blue boot out on the trail;GO_ON_WALK
walk through the playground in rainy weather with the black sandal;GO_ON_WALK
please take the green sandal_9 next to the hammer inside the drying area next to spray_7 on a walk;GO_ON_WALK
go for a jog with the green sneaker;GO_ON_WALK
go for a walk in the field wearing the brown sneaker;GO_ON_WALK
go for a walk in the city wearing the blue sneaker next to the canvas boot on the bottom shelf;GO_ON_WALK
take the red leather sandal out on the trail;GO_ON_WALK
take the red leather boot outside for a short walk;GO_ON_WALK
go on a run with the red sneaker_1 next to needle_and_yarn_1 in the tool area;GO_ON_WALK
walk through the construction site in rainy weather with the white sneaker;GO_ON_WALK
hike through the workshop with the boot;GO_ON_WALK
walk with the blue sneaker next to the brown sandals through the construction site;GO_ON_WALK
go on a long walk with the black rubber low boots;GO_ON_WALK
use the black sandal_6 for a walk in the garden;GO_ON_WALK
walk through the city in rainy weather with the green boots next to sneaker_12;GO_ON_WALK
hike through the garage with the yellow boot;GO_ON_WALK
hike through the garden with the sneakers;GO_ON_WALK
take the red rubber boot for a walk;GO_ON_WALK
go on a run with the boots next to the cleaning brush;GO_ON_WALK
go for a walk in the field wearing the brown canvas boots;GO_ON_WALK
go for a walk;GO_ON_WALK
take the boot on a rainy forest walk;GO_ON_WALK
please take the canvas boot next to spray_7 on a walk;GO_ON_WALK
make a short trip through the park with the sneakers;GO_ON_WALK
hike through the field with the suede high boot;GO_ON_WALK
go on a run with the white sandals next to the sole hammer;GO_ON_WALK
please take the clean boot on a walk;GO_ON_WALK
go for a walk in the trail wearing the brown rubber sneaker;GO_ON_WALK
hike through the trail with the red sandal_6 next to the black boots in the drying area;GO_ON_WALK
walk with the red leather boot through the city;GO_ON_WALK
go outside with the canvas sandal_88 for a walk;GO_ON_WALK
go on a medium walk with the yellow sneaker next to rag_4 on the floor;GO_ON_WALK
go outside with the sandal for a walk;GO_ON_WALK
hike through the field with the brown sandals;GO_ON_WALK
take sandal_3 outside for a long walk;GO_ON_WALK
go for a walk in the workshop wearing blue_sneaker_4 next to white cream inside the tool area;GO_ON_WALK
use the green boot for a walk in the playground;GO_ON_WALK
take the suede sneakers outside for a short walk;GO_ON_WALK
take a medium walk in rainy weather with the yellow suede boot next to the blue sneakers on the middle shelf;GO_ON_WALK
go for a long walk at the beach with sandal_3;GO_ON_WALK
go on a long walk;GO_ON_WALK
go on a short walk with the dirty sneaker;GO_ON_WALK
go for a jog with the boots next to sole_glue_3 in the tool area;GO_ON_WALK
try the boot on a long rainy trail walk;GO_ON_WALK
take canvas_sneaker_9 for a walk;GO_ON_WALK
walk with the blue sandals in the drying area next to the red boot through the park;GO_ON_WALK
wear the boot_5 for a muddy walk through the field;GO_ON_WALK
walk with the black boot through the street;GO_ON_WALK
wear canvas_sneaker_9 on the top shelf next to brush_12 and walk around the trail;GO_ON_WALK
take the yellow rubber sneaker out on the trail;GO_ON_WALK
take the yellow sneaker out on the trail;GO_ON_WALK
walk with the;GO_ON_WALK
walk through the park in sunny weather with green_sandal_9;GO_ON_WALK
go for a jog with the brown suede boot inside the floor box;GO_ON_WALK
