sentence_ID,position_in_sentence,token,label,intent,
12,8,the,O,CLEAN,
12,9,brush,B-CLEANING_TOOL_TYPE,CLEAN,
13,1,clean,O,CLEAN,
13,2,the,O,CLEAN,
13,3,mud,B-DIRT_TYPE,CLEAN,
13,4,off,O,CLEAN,
13,5,leather_boot_3,B-OBJECT_ID,CLEAN,
14,1,clean,O,CLEAN,
14,2,the,O,CLEAN,
14,3,mud,B-DIRT_TYPE,CLEAN,
14,4,off,O,CLEAN,
14,5,the,O,CLEAN,
14,6,canvas,B-MATERIAL,CLEAN,
14,7,sandal,B-SHOE_TYPE,CLEAN,
14,8,next,B-NEXT_TO_RELATION,CLEAN,
14,9,to,I-NEXT_TO_RELATION,CLEAN,
14,10,the,O,CLEAN,
14,11,sole,B-REPAIR_TOOL_TYPE,CLEAN,
14,12,hammer,I-REPAIR_TOOL_TYPE,CLEAN,
15,1,scrub,O,CLEAN,
15,2,the,O,CLEAN,
15,3,red,B-COLOR,CLEAN,
15,4,canvas,B-MATERIAL,CLEAN,
15,5,high,B-SHOE_HEIGHT,CLEAN,
15,6,boot,B-SHOE_TYPE,CLEAN,
15,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
15,8,the,O,CLEAN,
15,9,brush,B-CLEANING_TOOL_TYPE,CLEAN,
16,1,can,O,CLEAN,
16,2,you,O,CLEAN,
16,3,clean,O,CLEAN,
16,4,the,O,CLEAN,
16,5,sandal_3,B-OBJECT_ID,CLEAN,
16,6,using,B-BEFORE_SENTENCE_SPLIT,CLEAN,
16,7,the,O,CLEAN,
16,8,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
17,1,remove,O,CLEAN,
17,2,the,O,CLEAN,
17,3,dust,B-DIRT_TYPE,CLEAN,
17,4,from,O,CLEAN,
17,5,the,O,CLEAN,
17,6,sandal,B-SHOE_TYPE,CLEAN,
17,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
17,8,the,O,CLEAN,
17,9,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
17,10,next,B-NEXT_TO_RELATION,CLEAN,
17,11,to,I-NEXT_TO_RELATION,CLEAN,
17,12,the,O,CLEAN,
17,13,black,B-COLOR,CLEAN,
17,14,boot,B-SHOE_TYPE,CLEAN,
17,15,in,B-LOCATION_RELATION,CLEAN,
17,16,the,O,CLEAN,
17,17,drying,B-OBJECT_LOCATION,CLEAN,
17,18,area,I-OBJECT_LOCATION,CLEAN,
18,1,scrub,O,CLEAN,
18,2,the,O,CLEAN,
18,3,rubber,B-MATERIAL,CLEAN,
18,4,sandal,B-SHOE_TYPE,CLEAN,
18,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
18,6,the,O,CLEAN,
18,7,brush,B-CLEANING_TOOL_TYPE,CLEAN,
19,1,wash,O,CLEAN,
19,2,the,O,CLEAN,
19,3,white,B-COLOR,CLEAN,
19,4,sneaker,B-SHOE_TYPE,CLEAN,
19,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
19,6,the,O,CLEAN,
19,7,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
20,1,get,O,CLEAN,
20,2,the,O,CLEAN,
20,3,dust,B-DIRT_TYPE,CLEAN,
20,4,off,O,CLEAN,
20,5,the,O,CLEAN,
20,6,brown,B-COLOR,CLEAN,
20,7,sneaker,B-SHOE_TYPE,CLEAN,
20,8,next,B-NEXT_TO_RELATION,CLEAN,
20,9,to,I-NEXT_TO_RELATION,CLEAN,
20,10,rag_4,B-OBJECT_ID,CLEAN,
20,11,on,B-LOCATION_RELATION,CLEAN,
20,12,the,O,CLEAN,
20,13,floor,B-OBJECT_LOCATION,CLEAN,
20,14,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
20,15,the,O,CLEAN,
20,16,rag,B-CLEANING_TOOL_TYPE,CLEAN,
21,1,get,O,CLEAN,
21,2,the,O,CLEAN,
21,3,dust,B-DIRT_TYPE,CLEAN,
21,4,off,O,CLEAN,
21,5,the,O,CLEAN,
21,6,brown,B-COLOR,CLEAN,
21,7,sandal,B-SHOE_TYPE,CLEAN,
21,8,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
21,9,the,O,CLEAN,
21,10,rag,B-CLEANING_TOOL_TYPE,CLEAN,
22,1,get,O,CLEAN,
22,2,the,O,CLEAN,
22,3,dust,B-DIRT_TYPE,CLEAN,
22,4,off,O,CLEAN,
22,5,the,O,CLEAN,
22,6,green,B-COLOR,CLEAN,
22,7,sneaker_4,B-OBJECT_ID,CLEAN,
22,8,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
22,9,the,O,CLEAN,
22,10,rag,B-CLEANING_TOOL_TYPE,CLEAN,
23,1,scrub,O,CLEAN,
23,2,the,O,CLEAN,
23,3,blue,B-COLOR,CLEAN,
23,4,boot,B-SHOE_TYPE,CLEAN,
23,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
23,6,the,O,CLEAN,
23,7,brush,B-CLEANING_TOOL_TYPE,CLEAN,
23,8,next,B-NEXT_TO_RELATION,CLEAN,
23,9,to,I-NEXT_TO_RELATION,CLEAN,
23,10,cream_5,B-OBJECT_ID,CLEAN,
23,11,inside,B-LOCATION_RELATION,CLEAN,
23,12,the,O,CLEAN,
23,13,tool,B-OBJECT_LOCATION,CLEAN,
23,14,area,I-OBJECT_LOCATION,CLEAN,
24,1,scrub,O,CLEAN,
24,2,the,O,CLEAN,
24,3,black,B-COLOR,CLEAN,
24,4,mid,B-SHOE_HEIGHT,CLEAN,
24,5,boot,B-SHOE_TYPE,CLEAN,
24,6,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
24,7,the,O,CLEAN,
24,8,brush,B-CLEANING_TOOL_TYPE,CLEAN,
25,1,wipe,O,CLEAN,
25,2,down,O,CLEAN,
25,3,brown_boot_6,B-OBJECT_ID,CLEAN,
26,1,clean,O,CLEAN,
26,2,the,O,CLEAN,
26,3,mud,B-DIRT_TYPE,CLEAN,
26,4,off,O,CLEAN,
26,5,the,O,CLEAN,
26,6,rubber,B-MATERIAL,CLEAN,
26,7,boot,B-SHOE_TYPE,CLEAN,
26,8,next,B-NEXT_TO_RELATION,CLEAN,
26,9,to,I-NEXT_TO_RELATION,CLEAN,
26,10,the,O,CLEAN,
26,11,blue,B-COLOR,CLEAN,
26,12,sneaker,B-SHOE_TYPE,CLEAN,
26,13,on,B-LOCATION_RELATION,CLEAN,
26,14,the,O,CLEAN,
26,15,middle,B-OBJECT_LOCATION,CLEAN,
26,16,shelf,I-OBJECT_LOCATION,CLEAN,
27,1,wipe,O,CLEAN,
27,2,the,O,CLEAN,
27,3,red,B-COLOR,CLEAN,
27,4,rubber,B-MATERIAL,CLEAN,
27,5,low,B-SHOE_HEIGHT,CLEAN,
27,6,sandal,B-SHOE_TYPE,CLEAN,
27,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
27,8,the,O,CLEAN,
27,9,rag,B-CLEANING_TOOL_TYPE,CLEAN,
28,1,use,O,CLEAN,
28,2,a,O,CLEAN,
28,3,brush,B-CLEANING_TOOL_TYPE,CLEAN,
28,4,on,B-AFTER_SENTENCE_SPLIT,CLEAN,
28,5,the,O,CLEAN,
28,6,sneaker_4,B-OBJECT_ID,CLEAN,
28,7,to,O,CLEAN,
28,8,clean,O,CLEAN,
28,9,it,O,CLEAN,
29,1,wash,O,CLEAN,
29,2,wet_boot_11,B-OBJECT_ID,CLEAN,
29,3,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
29,4,the,O,CLEAN,
29,5,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
30,1,get,O,CLEAN,
30,2,the,O,CLEAN,
30,3,dust,B-DIRT_TYPE,CLEAN,
30,4,off,O,CLEAN,
30,5,the,O,CLEAN,
30,6,yellow,B-COLOR,CLEAN,
30,7,sandal,B-SHOE_TYPE,CLEAN,
30,8,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
30,9,the,O,CLEAN,
30,10,rag,B-CLEANING_TOOL_TYPE,CLEAN,
30,11,next,B-NEXT_TO_RELATION,CLEAN,
30,12,to,I-NEXT_TO_RELATION,CLEAN,
30,13,sole_glue_3,B-OBJECT_ID,CLEAN,
30,14,in,B-LOCATION_RELATION,CLEAN,
30,15,the,O,CLEAN,
30,16,tool,B-OBJECT_LOCATION,CLEAN,
30,17,area,I-OBJECT_LOCATION,CLEAN,
31,1,use,O,CLEAN,
31,2,the,O,CLEAN,
31,3,brush,B-CLEANING_TOOL_TYPE,CLEAN,
31,4,to,B-AFTER_SENTENCE_SPLIT,CLEAN,
31,5,clean,O,CLEAN,
31,6,the,O,CLEAN,
31,7,red,B-COLOR,CLEAN,
31,8,leather,B-MATERIAL,CLEAN,
31,9,sandal,B-SHOE_TYPE,CLEAN,
32,1,wipe,O,CLEAN,
32,2,the,O,CLEAN,
32,3,dirt,O,CLEAN,
32,4,from,O,CLEAN,
32,5,the,O,CLEAN,
32,6,brown,B-COLOR,CLEAN,
32,7,boot_8,B-OBJECT_ID,CLEAN,
33,1,brush,B-CLEANING_TOOL_TYPE,CLEAN,
33,2,the,O,CLEAN,
33,3,sneaker,B-SHOE_TYPE,CLEAN,
33,4,in,B-LOCATION_RELATION,CLEAN,
33,5,the,O,CLEAN,
33,6,drying,B-OBJECT_LOCATION,CLEAN,
33,7,area,I-OBJECT_LOCATION,CLEAN,
33,8,next,B-NEXT_TO_RELATION,CLEAN,
33,9,to,I-NEXT_TO_RELATION,CLEAN,
33,10,the,O,CLEAN,
33,11,red,B-COLOR,CLEAN,
33,12,boot,B-SHOE_TYPE,CLEAN,
34,1,use,O,CLEAN,
34,2,the,O,CLEAN,
34,3,rag,B-CLEANING_TOOL_TYPE,CLEAN,
34,4,to,B-AFTER_SENTENCE_SPLIT,CLEAN,
34,5,clean,O,CLEAN,
34,6,the,O,CLEAN,
34,7,brown,B-COLOR,CLEAN,
34,8,sneaker,B-SHOE_TYPE,CLEAN,
35,1,the,O,CLEAN,
35,2,sneaker,B-SHOE_TYPE,CLEAN,
35,3,is,O,CLEAN,
35,4,dirty,B-CLEANING_STATUS,CLEAN,
35,5,clean,O,CLEAN,
35,6,it,O,CLEAN,
35,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
35,8,the,O,CLEAN,
35,9,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
36,1,wipe,O,CLEAN,
36,2,down,O,CLEAN,
36,3,the,O,CLEAN,
36,4,black,B-COLOR,CLEAN,
36,5,sneaker,B-SHOE_TYPE,CLEAN,
36,6,on,B-LOCATION_RELATION,CLEAN,
36,7,the,O,CLEAN,
36,8,top,B-OBJECT_LOCATION,CLEAN,
36,9,shelf,I-OBJECT_LOCATION,CLEAN,
36,10,next,B-NEXT_TO_RELATION,CLEAN,
36,11,to,I-NEXT_TO_RELATION,CLEAN,
36,12,brush_12,B-OBJECT_ID,CLEAN,
37,1,make,O,CLEAN,
37,2,the,O,CLEAN,
37,3,sandal,B-SHOE_TYPE,CLEAN,
37,4,clean,O,CLEAN,
37,5,again,O,CLEAN,
37,6,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
37,7,the,O,CLEAN,
37,8,rag,B-CLEANING_TOOL_TYPE,CLEAN,
38,1,give,O,CLEAN,
38,2,the,O,CLEAN,
38,3,yellow,B-COLOR,CLEAN,
38,4,boot,B-SHOE_TYPE,CLEAN,
38,5,a,O,CLEAN,
38,6,quick,O,CLEAN,
38,7,clean,O,CLEAN,
38,8,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
38,9,the,O,CLEAN,
38,10,rag,B-CLEANING_TOOL_TYPE,CLEAN,
39,1,clean,O,CLEAN,
39,2,green_sandal_9,B-OBJECT_ID,CLEAN,
39,3,inside,B-LOCATION_RELATION,CLEAN,
39,4,the,O,CLEAN,
39,5,tool,B-OBJECT_LOCATION,CLEAN,
39,6,area,I-OBJECT_LOCATION,CLEAN,
39,7,next,B-NEXT_TO_RELATION,CLEAN,
39,8,to,I-NEXT_TO_RELATION,CLEAN,
39,9,the,O,CLEAN,
39,10,spray,B-IMPREGNATION_TOOL_TYPE,CLEAN,
39,11,bottle,O,CLEAN,
39,12,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
39,13,the,O,CLEAN,
39,14,rag,B-CLEANING_TOOL_TYPE,CLEAN,
40,1,clean,O,CLEAN,
40,2,the,O,CLEAN,
40,3,red,B-COLOR,CLEAN,
40,4,sandal,B-SHOE_TYPE,CLEAN,
40,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
40,6,the,O,CLEAN,
40,7,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
41,1,wash,O,CLEAN,
41,2,the,O,CLEAN,
41,3,sneaker,B-SHOE_TYPE,CLEAN,
41,4,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
41,5,the,O,CLEAN,
41,6,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
42,1,please,O,CLEAN,
42,2,clean,O,CLEAN,
42,3,the,O,CLEAN,
42,4,yellow,B-COLOR,CLEAN,
42,5,sandal_88,B-OBJECT_ID,CLEAN,
42,6,from,B-LOCATION_RELATION,CLEAN,
42,7,the,O,CLEAN,
42,8,middle,B-OBJECT_LOCATION,CLEAN,
42,9,shelf,I-OBJECT_LOCATION,CLEAN,
42,10,next,B-NEXT_TO_RELATION,CLEAN,
42,11,to,I-NEXT_TO_RELATION,CLEAN,
42,12,the,O,CLEAN,
42,13,green,B-COLOR,CLEAN,
42,14,sandal,B-SHOE_TYPE,CLEAN,
43,1,wipe,O,CLEAN,
43,2,the,O,CLEAN,
43,3,sandal,B-SHOE_TYPE,CLEAN,
43,4,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
43,5,the,O,CLEAN,
43,6,rag,B-CLEANING_TOOL_TYPE,CLEAN,
44,1,clean,O,CLEAN,
44,2,the,O,CLEAN,
44,3,brown,B-COLOR,CLEAN,
44,4,sneaker,B-SHOE_TYPE,CLEAN,
44,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
44,6,the,O,CLEAN,
44,7,brush,B-CLEANING_TOOL_TYPE,CLEAN,
45,1,please,O,CLEAN,
45,2,clean,O,CLEAN,
45,3,canvas_sneaker_9,B-OBJECT_ID,CLEAN,
46,1,clean,O,CLEAN,
46,2,the,O,CLEAN,
46,3,red,B-COLOR,CLEAN,
46,4,sandal,B-SHOE_TYPE,CLEAN,
46,5,on,B-LOCATION_RELATION,CLEAN,
46,6,the,O,CLEAN,
46,7,floor,B-OBJECT_LOCATION,CLEAN,
46,8,next,B-NEXT_TO_RELATION,CLEAN,
46,9,to,I-NEXT_TO_RELATION,CLEAN,
46,10,cleaner_3,B-OBJECT_ID,CLEAN,
46,11,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
46,12,the,O,CLEAN,
46,13,rag,B-CLEANING_TOOL_TYPE,CLEAN,
47,1,wash,O,CLEAN,
47,2,the,O,CLEAN,
47,3,red,B-COLOR,CLEAN,
47,4,sneaker,B-SHOE_TYPE,CLEAN,
47,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
47,6,the,O,CLEAN,
47,7,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
48,1,scrub,O,CLEAN,
48,2,the,O,CLEAN,
48,3,low,B-SHOE_HEIGHT,CLEAN,
48,4,sneaker,B-SHOE_TYPE,CLEAN,
48,5,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
48,6,the,O,CLEAN,
48,7,brush,B-CLEANING_TOOL_TYPE,CLEAN,
49,1,brush,B-CLEANING_TOOL_TYPE,CLEAN,
49,2,away,B-AFTER_SENTENCE_SPLIT,CLEAN,
49,3,the,O,CLEAN,
49,4,sand,B-DIRT_TYPE,CLEAN,
49,5,on,O,CLEAN,
49,6,the,O,CLEAN,
49,7,white,B-COLOR,CLEAN,
49,8,sandal,B-SHOE_TYPE,CLEAN,
50,1,make,O,CLEAN,
50,2,the,O,CLEAN,
50,3,green,B-COLOR,CLEAN,
50,4,sneaker,B-SHOE_TYPE,CLEAN,
50,5,clean,O,CLEAN,
50,6,again,O,CLEAN,
50,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
50,8,the,O,CLEAN,
50,9,rag,B-CLEANING_TOOL_TYPE,CLEAN,
51,1,clean,O,CLEAN,
51,2,the,O,CLEAN,
51,3,mud,B-DIRT_TYPE,CLEAN,
51,4,off,O,CLEAN,
51,5,the,O,CLEAN,
51,6,sneaker,B-SHOE_TYPE,CLEAN,
52,1,wash,O,CLEAN,
52,2,the,O,CLEAN,
52,3,canvas,B-MATERIAL,CLEAN,
52,4,sandal,B-SHOE_TYPE,CLEAN,
52,5,next,B-NEXT_TO_RELATION,CLEAN,
52,6,to,I-NEXT_TO_RELATION,CLEAN,
52,7,the,O,CLEAN,
52,8,canvas,B-MATERIAL,CLEAN,
52,9,boot,B-SHOE_TYPE,CLEAN,
52,10,on,B-LOCATION_RELATION,CLEAN,
52,11,the,O,CLEAN,
52,12,bottom,B-OBJECT_LOCATION,CLEAN,
52,13,shelf,I-OBJECT_LOCATION,CLEAN,
52,14,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
52,15,the,O,CLEAN,
52,16,red,O,CLEAN,
52,17,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
53,1,wipe,O,CLEAN,
53,2,the,O,CLEAN,
53,3,dirt,O,CLEAN,
53,4,from,O,CLEAN,
53,5,brown_sandal_4,B-OBJECT_ID,CLEAN,
54,1,make,O,CLEAN,
54,2,the,O,CLEAN,
54,3,red,B-COLOR,CLEAN,
54,4,sneaker,B-SHOE_TYPE,CLEAN,
54,5,clean,O,CLEAN,
54,6,again,O,CLEAN,
54,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
54,8,the,O,CLEAN,
54,9,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
55,1,wipe,O,CLEAN,
55,2,the,O,CLEAN,
55,3,dirt,O,CLEAN,
55,4,from,O,CLEAN,
55,5,the,O,CLEAN,
55,6,leather,B-MATERIAL,CLEAN,
55,7,boot,B-SHOE_TYPE,CLEAN,
55,8,next,B-NEXT_TO_RELATION,CLEAN,
55,9,to,I-NEXT_TO_RELATION,CLEAN,
55,10,needle_and_yarn_1,B-OBJECT_ID,CLEAN,
55,11,in,B-LOCATION_RELATION,CLEAN,
55,12,the,O,CLEAN,
55,13,tool,B-OBJECT_LOCATION,CLEAN,
55,14,area,I-OBJECT_LOCATION,CLEAN,
56,1,please,O,CLEAN,
56,2,clean,O,CLEAN,
56,3,the,O,CLEAN,
56,4,brown,B-COLOR,CLEAN,
56,5,sneaker,B-SHOE_TYPE,CLEAN,
57,1,get,O,CLEAN,
57,2,the,O,CLEAN,
57,3,dust,B-DIRT_TYPE,CLEAN,
57,4,off,O,CLEAN,
57,5,the,O,CLEAN,
57,6,yellow,B-COLOR,CLEAN,
57,7,rubber,B-MATERIAL,CLEAN,
57,8,sandal_88,B-OBJECT_ID,CLEAN,
57,9,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
57,10,the,O,CLEAN,
57,11,rag,B-CLEANING_TOOL_TYPE,CLEAN,
58,1,scrub,O,CLEAN,
58,2,leather_boot_3,B-OBJECT_ID,CLEAN,
58,3,next,B-NEXT_TO_RELATION,CLEAN,
58,4,to,I-NEXT_TO_RELATION,CLEAN,
58,5,the,O,CLEAN,
58,6,brown,B-COLOR,CLEAN,
58,7,sandal,B-SHOE_TYPE,CLEAN,
58,8,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
58,9,the,O,CLEAN,
58,10,brush,B-CLEANING_TOOL_TYPE,CLEAN,
59,1,brush,B-CLEANING_TOOL_TYPE,CLEAN,
59,2,away,B-AFTER_SENTENCE_SPLIT,CLEAN,
59,3,the,O,CLEAN,
59,4,sand,B-DIRT_TYPE,CLEAN,
59,5,on,O,CLEAN,
59,6,the,O,CLEAN,
59,7,boot,B-SHOE_TYPE,CLEAN,
60,1,make,O,CLEAN,
60,2,the,O,CLEAN,
60,3,white,B-COLOR,CLEAN,
60,4,sandal,B-SHOE_TYPE,CLEAN,
60,5,clean,O,CLEAN,
60,6,again,O,CLEAN,
60,7,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
60,8,the,O,CLEAN,
60,9,cleaner,B-CLEANING_TOOL_TYPE,CLEAN,
61,1,clean,O,CLEAN,
61,2,up,O,CLEAN,
61,3,the,O,CLEAN,
61,4,blue,B-COLOR,CLEAN,
61,5,sneaker,B-SHOE_TYPE,CLEAN,
61,6,next,B-NEXT_TO_RELATION,CLEAN,
61,7,to,I-NEXT_TO_RELATION,CLEAN,
61,8,sneaker_12,B-OBJECT_ID,CLEAN,
62,1,wipe,O,CLEAN,
62,2,the,O,CLEAN,
62,3,dirt,O,CLEAN,
62,4,from,O,CLEAN,
62,5,the,O,CLEAN,
62,6,boot,B-SHOE_TYPE,CLEAN,
63,1,brush,B-CLEANING_TOOL_TYPE,CLEAN,
63,2,away,B-AFTER_SENTENCE_SPLIT,CLEAN,
63,3,the,O,CLEAN,
63,4,sand,B-DIRT_TYPE,CLEAN,
63,5,on,O,CLEAN,
63,6,the,O,CLEAN,
63,7,blue,B-COLOR,CLEAN,
63,8,sneaker,B-SHOE_TYPE,CLEAN,
64,1,brush,B-CLEANING_TOOL_TYPE,CLEAN,
64,2,the,O,CLEAN,
64,3,green,B-COLOR,CLEAN,
64,4,sandal,B-SHOE_TYPE,CLEAN,
64,5,clean,O,CLEAN,
65,1,scrub,O,CLEAN,
65,2,the,O,CLEAN,
65,3,dirty,B-CLEANING_STATUS,CLEAN,
65,4,spots,O,CLEAN,
65,5,on,O,CLEAN,
65,6,the,O,CLEAN,
65,7,sneaker,B-SHOE_TYPE,CLEAN,
65,8,next,B-NEXT_TO_RELATION,CLEAN,
65,9,to,I-NEXT_TO_RELATION,CLEAN,
65,10,the,O,CLEAN,
65,11,cleaning,O,CLEAN,
65,12,brush,B-CLEANING_TOOL_TYPE,CLEAN,
66,1,clean,O,CLEAN,
66,2,dirty_sneaker_6,B-OBJECT_ID,CLEAN,
66,3,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
66,4,the,O,CLEAN,
66,5,brush,B-CLEANING_TOOL_TYPE,CLEAN,
67,1,wash,O,CLEAN,
67,2,the,O,CLEAN,
67,3,dirty,O,CLEAN,
68,1,clean,O,CLEAN,
68,2,that,O,CLEAN,
68,3,shoe_8,B-OBJECT_ID,CLEAN,
68,4,before,O,CLEAN,
68,5,putting,O,CLEAN,
68,6,it,O,CLEAN,
68,7,away,O,CLEAN,
69,1,get,O,CLEAN,
69,2,the,O,CLEAN,
69,3,dust,B-DIRT_TYPE,CLEAN,
69,4,off,O,CLEAN,
69,5,the,O,CLEAN,
69,6,green,B-COLOR,CLEAN,
69,7,canvas,B-MATERIAL,CLEAN,
69,8,boot,B-SHOE_TYPE,CLEAN,
69,9,with,B-BEFORE_SENTENCE_SPLIT,CLEAN,
69,10,yellow,O,CLEAN,
69,11,the,O,CLEAN,
69,12,rag,B-CLEANING_TOOL_TYPE,CLEAN,
